Product,Model,MAPE,RMSE,MAE
Antibiotic_A,ARIMA,8.103263371424758,2.259435682159593,1.8197588753505562
Antibiotic_A,LSTM,9.329626181629989,6.244701494009076,5.459603666666666
Antibiotic_A,XGBoost,14.944503730281767,5.507570547286102,4.533333333333333
Antihistamine,Prophet,16.270847288863514,3.612256968402764,2.9007844208623137
Cough_Syrup,ARIMA,9.040576670414016,2.7588404226221273,1.728789555508917
Cough_Syrup,Prophet,10.813427872551857,14.25702076324151,7.073844948989464
Insulin_Supplies,LSTM,16.37847676620633,12.404422789038657,10.0682416
ORS_Solution,ARIMA,25.23641435411867,2.514885498834141,2.0221520141921037
ORS_Solution,Prophet,13.6719716171455,3.5210858011851496,2.952836277820426
ORS_Solution,XGBoost,11.869062501545288,8.951722366859538,7.533333333333333
PainRelief_Gel,LSTM,21.809891560793798,19.670598546094844,13.869757933333334
Paracetamol_500mg,ARIMA,7.425757500643226,7.618365781837331,4.941352468596724
Paracetamol_500mg,LSTM,13.311868188860917,12.313900429294065,10.162996133333333
Paracetamol_500mg,XGBoost,24.699846764739693,11.338724208069737,9.166666666666666
Sunscreen,Prophet,21.44555184350379,3.438714183612309,2.998531293574444
Sunscreen,XGBoost,21.20807693649933,4.750438576243952,3.6333333333333333
Travel_Antidiarrheal,XGBoost,21.236295631384692,4.813176359397884,3.6333333333333333
Vitamin_C,ARIMA,5.66404664612881,3.297656303798316,2.2379779891696967
Vitamin_C,LSTM,10.457408673434403,9.900679204566801,7.046254966666667
Vitamin_C,Prophet,11.888127279338963,14.251703108850919,7.099337820294462
