ds,y,product,month,day_of_year,is_winter,temp
2022-01-01,17,ORS_Solution,1,1,1,27.73855955460496
2022-01-02,15,ORS_Solution,1,2,1,26.971059640652875
2022-01-03,24,ORS_Solution,1,3,1,27.623865981948175
2022-01-04,22,ORS_Solution,1,4,1,28.36547521825292
2022-01-05,22,ORS_Solution,1,5,1,26.474013948795033
2022-01-06,23,ORS_Solution,1,6,1,26.33924616139943
2022-01-07,28,ORS_Solution,1,7,1,28.017345501311887
2022-01-08,13,ORS_Solution,1,8,1,27.06989083266104
2022-01-09,16,ORS_Solution,1,9,1,25.696919189424044
2022-01-10,18,ORS_Solution,1,10,1,26.57254546320661
2022-01-11,17,ORS_Solution,1,11,1,25.42985436416109
2022-01-12,16,ORS_Solution,1,12,1,25.290564244967335
2022-01-13,19,ORS_Solution,1,13,1,25.86105410543374
2022-01-14,16,ORS_Solution,1,14,1,23.568425974268543
2022-01-15,19,ORS_Solution,1,15,1,23.61926003152321
2022-01-16,18,ORS_Solution,1,16,1,24.644259992576085
2022-01-17,21,ORS_Solution,1,17,1,24.056024854775078
2022-01-18,21,ORS_Solution,1,18,1,25.24539135748576
2022-01-19,21,ORS_Solution,1,19,1,23.885428402661724
2022-01-20,18,ORS_Solution,1,20,1,23.243518434628466
2022-01-21,26,ORS_Solution,1,21,1,25.98394254999521
2022-01-22,19,ORS_Solution,1,22,1,24.15513186564576
2022-01-23,12,ORS_Solution,1,23,1,24.31123420615033
2022-01-24,17,ORS_Solution,1,24,1,22.681979756812982
2022-01-25,14,ORS_Solution,1,25,1,23.425631855854167
2022-01-26,20,ORS_Solution,1,26,1,23.944529014350863
2022-01-27,19,ORS_Solution,1,27,1,22.54655031906956
2022-01-28,18,ORS_Solution,1,28,1,23.937565332541173
2022-01-29,24,ORS_Solution,1,29,1,22.82597819173258
2022-01-30,20,ORS_Solution,1,30,1,23.000138926688358
2022-01-31,22,ORS_Solution,1,31,1,22.555848025925705
2022-02-01,17,ORS_Solution,2,32,1,24.876100740661453
2022-02-02,17,ORS_Solution,2,33,1,22.877178833438013
2022-02-03,20,ORS_Solution,2,34,1,21.700443669450372
2022-02-04,20,ORS_Solution,2,35,1,23.448842357915265
2022-02-05,13,ORS_Solution,2,36,1,21.274300022542363
2022-02-06,18,ORS_Solution,2,37,1,22.57359573720851
2022-02-07,20,ORS_Solution,2,38,1,20.27543137475436
2022-02-08,19,ORS_Solution,2,39,1,20.778104105263427
2022-02-09,18,ORS_Solution,2,40,1,22.175197514237404
2022-02-10,19,ORS_Solution,2,41,1,22.589744366743677
2022-02-11,20,ORS_Solution,2,42,1,21.896520610665
2022-02-12,19,ORS_Solution,2,43,1,21.484348997855328
2022-02-13,21,ORS_Solution,2,44,1,21.174746029606748
2022-02-14,9,ORS_Solution,2,45,1,19.874224461564904
2022-02-15,20,ORS_Solution,2,46,1,20.51087973021438
2022-02-16,19,ORS_Solution,2,47,1,20.649179572170695
2022-02-17,22,ORS_Solution,2,48,1,22.047187718652708
2022-02-18,23,ORS_Solution,2,49,1,21.21511916144164
2022-02-19,18,ORS_Solution,2,50,1,18.9911194593418
2022-02-20,22,ORS_Solution,2,51,1,20.962160461069587
2022-02-21,24,ORS_Solution,2,52,1,20.13820362030227
2022-02-22,25,ORS_Solution,2,53,1,19.732899856459447
2022-02-23,27,ORS_Solution,2,54,1,20.909394270501082
2022-02-24,19,ORS_Solution,2,55,1,21.21800701669657
2022-02-25,21,ORS_Solution,2,56,1,21.009003319409576
2022-02-26,20,ORS_Solution,2,57,1,19.130679960010685
2022-02-27,20,ORS_Solution,2,58,1,19.554349918256275
2022-02-28,20,ORS_Solution,2,59,1,20.09001257373088
2022-03-01,17,ORS_Solution,3,60,0,20.63103421341409
2022-03-02,22,ORS_Solution,3,61,0,19.074638486338582
2022-03-03,20,ORS_Solution,3,62,0,19.268091208240364
2022-03-04,22,ORS_Solution,3,63,0,18.248996145136548
2022-03-05,18,ORS_Solution,3,64,0,18.062378066511634
2022-03-06,18,ORS_Solution,3,65,0,19.9760653897023
2022-03-07,23,ORS_Solution,3,66,0,20.426463941782057
2022-03-08,23,ORS_Solution,3,67,0,18.906655258163596
2022-03-09,24,ORS_Solution,3,68,0,19.892423995567682
2022-03-10,29,ORS_Solution,3,69,0,19.16256369411131
2022-03-11,24,ORS_Solution,3,70,0,18.06968140476516
2022-03-12,23,ORS_Solution,3,71,0,18.991932695247485
2022-03-13,18,ORS_Solution,3,72,0,20.086196995898412
2022-03-14,19,ORS_Solution,3,73,0,18.43186954932272
2022-03-15,28,ORS_Solution,3,74,0,19.95381006602273
2022-03-16,21,ORS_Solution,3,75,0,15.692851060561157
2022-03-17,21,ORS_Solution,3,76,0,19.059910045550716
2022-03-18,24,ORS_Solution,3,77,0,18.252469710239556
2022-03-19,22,ORS_Solution,3,78,0,17.79585562513484
2022-03-20,20,ORS_Solution,3,79,0,18.118110226860928
2022-03-21,23,ORS_Solution,3,80,0,15.972333453610823
2022-03-22,28,ORS_Solution,3,81,0,17.67586953112654
2022-03-23,22,ORS_Solution,3,82,0,18.190398245632473
2022-03-24,20,ORS_Solution,3,83,0,19.25104762614404
2022-03-25,28,ORS_Solution,3,84,0,17.196892740972622
2022-03-26,25,ORS_Solution,3,85,0,16.850837388631664
2022-03-27,22,ORS_Solution,3,86,0,17.103917178870716
2022-03-28,20,ORS_Solution,3,87,0,18.469610669398236
2022-03-29,23,ORS_Solution,3,88,0,17.833700339296232
2022-03-30,25,ORS_Solution,3,89,0,16.928150649109593
2022-03-31,29,ORS_Solution,3,90,0,17.926374793015984
2022-04-01,23,ORS_Solution,4,91,0,17.467629576304475
2022-04-02,24,ORS_Solution,4,92,0,18.29890245463452
2022-04-03,27,ORS_Solution,4,93,0,16.590182517609456
2022-04-04,19,ORS_Solution,4,94,0,16.92883558920972
2022-04-05,30,ORS_Solution,4,95,0,16.83094627383535
2022-04-06,23,ORS_Solution,4,96,0,15.728400646808936
2022-04-07,28,ORS_Solution,4,97,0,17.45921074390066
2022-04-08,28,ORS_Solution,4,98,0,17.39764285634003
2022-04-09,29,ORS_Solution,4,99,0,17.11752825693182
2022-04-10,27,ORS_Solution,4,100,0,16.85599214476613
2022-04-11,20,ORS_Solution,4,101,0,15.65571674600195
2022-04-12,25,ORS_Solution,4,102,0,16.633299883095326
2022-04-13,28,ORS_Solution,4,103,0,16.69644299466765
2022-04-14,27,ORS_Solution,4,104,0,16.22445151674502
2022-04-15,29,ORS_Solution,4,105,0,16.85537700141085
2022-04-16,29,ORS_Solution,4,106,0,17.41301313213427
2022-04-17,29,ORS_Solution,4,107,0,18.889815655711672
2022-04-18,8,ORS_Solution,4,108,0,17.175244543593937
2022-04-19,23,ORS_Solution,4,109,0,17.257624472833243
2022-04-20,27,ORS_Solution,4,110,0,16.927406068394706
2022-04-21,30,ORS_Solution,4,111,0,15.08722869478349
2022-04-22,26,ORS_Solution,4,112,0,16.986002755306266
2022-04-23,30,ORS_Solution,4,113,0,17.08163042507578
2022-04-24,31,ORS_Solution,4,114,0,19.495890143307854
2022-04-25,30,ORS_Solution,4,115,0,16.853895780067262
2022-04-26,20,ORS_Solution,4,116,0,17.363769666990155
2022-04-27,26,ORS_Solution,4,117,0,17.045828269595933
2022-04-28,36,ORS_Solution,4,118,0,15.932526423228577
2022-04-29,28,ORS_Solution,4,119,0,18.267032280498285
2022-04-30,23,ORS_Solution,4,120,0,17.9014812705139
2022-05-01,33,ORS_Solution,5,121,0,17.968245214997793
2022-05-02,31,ORS_Solution,5,122,0,16.297808903825896
2022-05-03,34,ORS_Solution,5,123,0,18.64228293612404
2022-05-04,32,ORS_Solution,5,124,0,15.872229435968881
2022-05-05,32,ORS_Solution,5,125,0,17.89781882282186
2022-05-06,32,ORS_Solution,5,126,0,19.540577013074735
2022-05-07,32,ORS_Solution,5,127,0,16.401011544508084
2022-05-08,37,ORS_Solution,5,128,0,16.868931170980087
2022-05-09,35,ORS_Solution,5,129,0,17.580802901552477
2022-05-10,27,ORS_Solution,5,130,0,17.025826515300402
2022-05-11,33,ORS_Solution,5,131,0,16.029003100300294
2022-05-12,35,ORS_Solution,5,132,0,17.70079267307295
2022-05-13,36,ORS_Solution,5,133,0,16.624672380791225
2022-05-14,30,ORS_Solution,5,134,0,18.217481928214095
2022-05-15,34,ORS_Solution,5,135,0,16.883528808548252
2022-05-16,80,ORS_Solution,5,136,0,19.41408363334115
2022-05-17,85,ORS_Solution,5,137,0,17.144206628116855
2022-05-18,31,ORS_Solution,5,138,0,17.670804842640383
2022-05-19,32,ORS_Solution,5,139,0,18.873866379532892
2022-05-20,32,ORS_Solution,5,140,0,16.899024017359622
2022-05-21,30,ORS_Solution,5,141,0,18.42892320238391
2022-05-22,29,ORS_Solution,5,142,0,19.582195509206603
2022-05-23,25,ORS_Solution,5,143,0,16.74315175451231
2022-05-24,32,ORS_Solution,5,144,0,18.61282143211299
2022-05-25,35,ORS_Solution,5,145,0,18.767570322189535
2022-05-26,32,ORS_Solution,5,146,0,19.3709341663799
2022-05-27,40,ORS_Solution,5,147,0,17.435484035067702
2022-05-28,88,ORS_Solution,5,148,0,17.437176578349522
2022-05-29,91,ORS_Solution,5,149,0,19.3666229505454
2022-05-30,90,ORS_Solution,5,150,0,19.230538205404688
2022-05-31,92,ORS_Solution,5,151,0,19.274716148773432
2022-06-01,90,ORS_Solution,6,152,0,19.463112025785094
2022-06-02,94,ORS_Solution,6,153,0,18.53082297205421
2022-06-03,35,ORS_Solution,6,154,0,19.539000718906806
2022-06-04,35,ORS_Solution,6,155,0,19.697405856885506
2022-06-05,35,ORS_Solution,6,156,0,18.789226444184298
2022-06-06,34,ORS_Solution,6,157,0,21.470225560481193
2022-06-07,37,ORS_Solution,6,158,0,20.180755974973565
2022-06-08,42,ORS_Solution,6,159,0,18.6196600145175
2022-06-09,35,ORS_Solution,6,160,0,20.57309520151241
2022-06-10,37,ORS_Solution,6,161,0,19.048944342245736
2022-06-11,38,ORS_Solution,6,162,0,20.919269642821444
2022-06-12,38,ORS_Solution,6,163,0,21.400782083321296
2022-06-13,36,ORS_Solution,6,164,0,19.53291549401788
2022-06-14,29,ORS_Solution,6,165,0,21.429762078915378
2022-06-15,38,ORS_Solution,6,166,0,20.99329842159554
2022-06-16,29,ORS_Solution,6,167,0,21.518018787688092
2022-06-17,41,ORS_Solution,6,168,0,22.709468123729547
2022-06-18,35,ORS_Solution,6,169,0,20.685244333180293
2022-06-19,38,ORS_Solution,6,170,0,20.296059434362693
2022-06-20,34,ORS_Solution,6,171,0,20.280614849448167
2022-06-21,32,ORS_Solution,6,172,0,20.475787547811755
2022-06-22,37,ORS_Solution,6,173,0,21.33706355666261
2022-06-23,37,ORS_Solution,6,174,0,21.878947234413193
2022-06-24,35,ORS_Solution,6,175,0,21.939141978431486
2022-06-25,36,ORS_Solution,6,176,0,22.61527933538824
2022-06-26,44,ORS_Solution,6,177,0,21.92769464192905
2022-06-27,39,ORS_Solution,6,178,0,23.495737734031934
2022-06-28,40,ORS_Solution,6,179,0,21.90593418935107
2022-06-29,40,ORS_Solution,6,180,0,25.01998596983671
2022-06-30,42,ORS_Solution,6,181,0,23.05551005422609
2022-07-01,37,ORS_Solution,7,182,0,21.703472646333406
2022-07-02,30,ORS_Solution,7,183,0,21.621248038894016
2022-07-03,35,ORS_Solution,7,184,0,23.306807154970343
2022-07-04,40,ORS_Solution,7,185,0,22.733710853744654
2022-07-05,34,ORS_Solution,7,186,0,23.80461836604449
2022-07-06,37,ORS_Solution,7,187,0,23.697865520540223
2022-07-07,35,ORS_Solution,7,188,0,23.28633508839417
2022-07-08,42,ORS_Solution,7,189,0,22.647392603185644
2022-07-09,38,ORS_Solution,7,190,0,22.11480762186231
2022-07-10,38,ORS_Solution,7,191,0,23.31901448261873
2022-07-11,39,ORS_Solution,7,192,0,24.758168617417354
