Date,Product_ID,Product_Name,Sales_Qty
2022-01-01,P001,Paracetamol_500mg,75
2022-01-02,P001,Paracetamol_500mg,51
2022-01-03,P001,Paracetamol_500mg,54
2022-01-04,P001,Paracetamol_500mg,59
2022-01-05,P001,Paracetamol_500mg,53
2022-01-06,P001,Paracetamol_500mg,60
2022-01-07,P001,Paracetamol_500mg,50
2022-01-08,P001,Paracetamol_500mg,51
2022-01-09,P001,Paracetamol_500mg,53
2022-01-10,P001,Paracetamol_500mg,42
2022-01-11,P001,Paracetamol_500mg,55
2022-01-12,P001,Paracetamol_500mg,45
2022-01-13,P001,Paracetamol_500mg,52
2022-01-14,P001,Paracetamol_500mg,55
2022-01-15,P001,Paracetamol_500mg,47
2022-01-16,P001,Paracetamol_500mg,56
2022-01-17,P001,Paracetamol_500mg,46
2022-01-18,P001,Paracetamol_500mg,56
2022-01-19,P001,Paracetamol_500mg,51
2022-01-20,P001,Paracetamol_500mg,50
2022-01-21,P001,Paracetamol_500mg,51
2022-01-22,P001,Paracetamol_500mg,51
2022-01-23,P001,Paracetamol_500mg,45
2022-01-24,P001,Paracetamol_500mg,54
2022-01-25,P001,Paracetamol_500mg,57
2022-01-26,P001,Paracetamol_500mg,59
2022-01-27,P001,Paracetamol_500mg,48
2022-01-28,P001,Paracetamol_500mg,45
2022-01-29,P001,Paracetamol_500mg,49
2022-01-30,P001,Paracetamol_500mg,48
2022-01-31,P001,Paracetamol_500mg,50
2022-02-01,P001,Paracetamol_500mg,54
2022-02-02,P001,Paracetamol_500mg,51
2022-02-03,P001,Paracetamol_500mg,57
2022-02-04,P001,Paracetamol_500mg,53
2022-02-05,P001,Paracetamol_500mg,44
2022-02-06,P001,Paracetamol_500mg,46
2022-02-07,P001,Paracetamol_500mg,50
2022-02-08,P001,Paracetamol_500mg,51
2022-02-09,P001,Paracetamol_500mg,54
2022-02-10,P001,Paracetamol_500mg,53
2022-02-11,P001,Paracetamol_500mg,39
2022-02-12,P001,Paracetamol_500mg,44
2022-02-13,P001,Paracetamol_500mg,44
2022-02-14,P001,Paracetamol_500mg,53
2022-02-15,P001,Paracetamol_500mg,53
2022-02-16,P001,Paracetamol_500mg,52
2022-02-17,P001,Paracetamol_500mg,50
2022-02-18,P001,Paracetamol_500mg,53
2022-02-19,P001,Paracetamol_500mg,43
2022-02-20,P001,Paracetamol_500mg,40
2022-02-21,P001,Paracetamol_500mg,47
2022-02-22,P001,Paracetamol_500mg,53
2022-02-23,P001,Paracetamol_500mg,55
2022-02-24,P001,Paracetamol_500mg,55
2022-02-25,P001,Paracetamol_500mg,50
2022-02-26,P001,Paracetamol_500mg,51
2022-02-27,P001,Paracetamol_500mg,48
2022-02-28,P001,Paracetamol_500mg,52
2022-03-01,P001,Paracetamol_500mg,53
2022-03-02,P001,Paracetamol_500mg,52
2022-03-03,P001,Paracetamol_500mg,55
2022-03-04,P001,Paracetamol_500mg,59
2022-03-05,P001,Paracetamol_500mg,51
2022-03-06,P001,Paracetamol_500mg,53
2022-03-07,P001,Paracetamol_500mg,60
2022-03-08,P001,Paracetamol_500mg,54
2022-03-09,P001,Paracetamol_500mg,55
2022-03-10,P001,Paracetamol_500mg,58
